Player_Id,Bowling_Skill,Overs,Wickets,Runs,Economy,Average,Maidens,4W,Best Figure
45,Right-arm medium,7,3,40,5.7142857142857135,13.333333333333336,0,0,7-2
48,Right-arm medium,39,8,323,8.282051282051281,40.375,0,0,13-3
49,Right-arm fast-medium,46,13,307,6.673913043478262,23.615384615384613,1,1,12-4
50,Right-arm offbreak,457,116,3162,6.919037199124727,27.25862068965517,3,3,18-5
52,Right-arm offbreak,2,0,24,12.0,0.0,0,0,0-0
53,Right-arm offbreak,0,1,0,0.0,0.0,1,0,0-1
54,Right-arm offbreak,37,7,338,9.135135135135137,48.28571428571429,0,0,23-2
56,Right-arm offbreak,90,23,694,7.711111111111111,30.17391304347826,0,0,22-3
57,Right-arm offbreak,57,16,449,7.8771929824561395,28.0625,0,2,7-4
58,Right-arm medium,37,9,278,7.513513513513512,30.88888888888889,0,0,32-3
59,Right-arm medium-fast,25,6,221,8.84,36.833333333333336,0,0,31-2
60,Left-arm fast-medium,48,22,364,7.583333333333332,16.545454545454547,1,0,21-3
61,Left-arm fast-medium,312,82,2382,7.634615384615384,29.04878048780488,1,3,22-5
63,Right-arm medium,54,15,458,8.481481481481481,30.53333333333333,0,0,6-3
66,Right-arm fast,152,20,1111,7.309210526315789,55.55,3,0,16-3
67,Legbreak,412,106,3123,7.5800970873786415,29.462264150943398,1,3,21-4
68,Right-arm medium,12,4,98,8.166666666666666,24.5,0,0,7-1
70,Legbreak googly,30,9,237,7.9,26.33333333333333,0,0,28-3
71,Right-arm medium-fast,351,107,2778,7.914529914529915,25.96261682242991,4,2,22-4
72,Right-arm medium,5,2,52,10.4,26.0,0,0,30-2
73,Left-arm medium-fast,307,92,2321,7.560260586319218,25.22826086956522,2,3,29-5
75,Right-arm medium-fast,51,4,470,9.215686274509805,117.5,1,0,27-2
77,Right-arm fast-medium,157,38,1208,7.694267515923567,31.78947368421053,4,0,30-3
78,Right-arm medium-fast,61,16,549,9.0,34.3125,0,0,29-3
80,Right-arm medium,227,72,1736,7.647577092511012,24.11111111111111,6,1,15-4
81,Right-arm medium,356,90,2917,8.1938202247191,32.41111111111111,2,3,40-5
82,Right-arm fast,136,29,1166,8.573529411764708,40.206896551724135,1,0,16-3
83,Slow left-arm orthodox,197,31,1397,7.091370558375634,45.064516129032256,1,1,17-4
84,Right-arm fast-medium,266,50,2092,7.86466165413534,41.84,2,1,13-5
85,Right-arm medium,1,1,5,5.0,5.0,0,0,5-1
86,Right-arm offbreak,9,2,87,9.666666666666666,43.5,0,0,6-1
87,Legbreak googly,6,1,73,12.166666666666664,73.0,0,0,11-1
89,Right-arm medium-fast,269,59,1982,7.3680297397769525,33.59322033898305,1,2,15-4
90,Right-arm fast-medium,73,33,532,7.287671232876713,16.12121212121212,0,1,13-4
91,Right-arm medium-fast,59,19,504,8.542372881355933,26.52631578947368,0,1,36-5
93,Right-arm medium,1,0,20,20.0,0.0,0,0,0-0
94,Right-arm fast,359,73,2350,6.545961002785514,32.19178082191781,9,0,16-3
98,Left-arm fast-medium,11,2,100,9.090909090909092,50.0,0,0,30-1
99,Right-arm medium-fast,8,2,88,11.0,44.0,0,0,30-1
102,Left-arm medium-fast,44,24,275,6.25,11.458333333333336,0,2,15-6
104,Right-arm offbreak,39,17,309,7.9230769230769225,18.176470588235293,0,1,13-5
105,Right-arm fast-medium,25,14,198,7.92,14.142857142857142,1,2,24-4
106,Right-arm medium-fast,254,64,1961,7.7204724409448815,30.640625,2,1,27-4
108,Slow left-arm orthodox,2,1,22,11.0,22.0,0,0,22-1
109,Right-arm medium-fast,301,82,2378,7.900332225913621,29.0,3,3,27-4
111,Legbreak,1,0,21,21.0,0.0,0,0,0-0
112,Legbreak googly,3,1,28,9.333333333333334,28.0,0,0,19-1
115,Right-arm fast-medium,24,7,214,8.916666666666666,30.57142857142857,1,0,16-2
116,Left-arm medium,121,34,985,8.140495867768594,28.970588235294123,1,0,19-3
117,Right-arm fast-medium,33,9,307,9.303030303030305,34.111111111111114,0,0,20-2
118,Right-arm fast-medium,54,14,366,6.777777777777778,26.142857142857146,1,1,29-4
119,Right-arm fast-medium,45,13,421,9.355555555555558,32.384615384615394,0,0,28-2
120,Right-arm medium,151,31,1261,8.350993377483443,40.67741935483871,3,0,14-3
121,Right-arm offbreak,263,51,1743,6.6273764258555135,34.176470588235304,1,2,11-4
122,Right-arm fast,35,8,257,7.3428571428571425,32.125,1,1,24-4
124,Legbreak googly,163,48,1089,6.680981595092025,22.6875,3,4,6-5
126,Right-arm medium-fast,223,61,1652,7.408071748878924,27.08196721311475,5,2,25-5
127,Right-arm medium,2,0,49,24.5,0.0,0,0,0-0
131,Slow left-arm orthodox,324,84,2379,7.342592592592593,28.32142857142857,1,1,30-4
133,Right-arm offbreak,6,0,59,9.833333333333334,0.0,0,0,0-0
135,Right-arm offbreak,45,5,365,8.11111111111111,73.0,0,0,3-1
